Key_Value,LotDescription,ParkingID,ParkingName,TotalParkingSpaces,Occupied,FreeSpaces,FullCapacity,Color,DataExportDateTime,Long,Lat
c1000,Lot 1 Occupancy,P1,P-1,1432,538,894,38,Green,12/17/2020 03:37:00 AM,-118.400495,33.944751
c2000,Lot 2A Occupancy,P2A,P-2A,490,206,284,42,Green,12/17/2020 03:37:00 AM,-118.404111,33.944751
c2001,LOT 2B Occupancy Input,P2B,P-2B,490,276,214,56,Yellow,12/17/2020 03:35:00 AM,-118.405227,33.944422
c3000,LOT 3 Occupancy Input,P3,P-3,905,274,631,30,Green,12/17/2020 03:35:00 AM,-118.407223,33.944306
c4000,LOT 4 Occupancy Input,P4,P-4,1160,560,600,48,Green,12/17/2020 03:35:00 AM,-118.406998,33.943104
c5000,Lot 5 Occupancy,P5,P-5,673,281,392,42,Green,12/17/2020 03:37:00 AM,-118.405185,33.943273
c6000,Lot 6 Occupancy,P6,P-6,899,236,663,26,Green,12/17/2020 03:37:00 AM,-118.403672,33.943255
c7000,Lot 7 Occupancy Input,P7,P-7,1597,539,1058,34,Green,12/17/2020 03:35:00 AM,-118.399853,33.943851
